date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-08-11,NEM,NEM,,111219,3.7801,3.4232,116.9332
2026-08-11,NFLX,NFLX,,341596,1.9072,1.3372,75.6571
2026-08-11,NKE,NKE,,164251,2.5466,2.434,41.1439
2026-08-11,NOC,NOC,,10037,13.7469,11.6089,575.8619
2026-08-11,NOW,NOW,,117308,3.9118,3.1643,126.946
2026-08-11,NSC,NSC,,18640,8.3142,7.167,334.7349
2026-08-11,NUE,NUE,,7264,15.6603,14.2828,273.7702
2026-08-11,NVDA,NVDA,,1382654,0.9231,0.9142,218.5606
2026-08-11,O,O,,65035,2.0846,1.6172,61.9041
2026-08-11,OKE,OKE,,24122,5.9182,5.4678,91.1702
2026-08-11,ORCL,ORCL,,154184,4.6572,4.1396,145.4969
2026-08-11,ORLY,ORLY,,44476,3.7618,3.2249,93.2568
2026-08-11,PANW,PANW,,39921,10.4534,9.1461,383.2402
2026-08-11,PCG,PCG,,66214,5.8277,5.8394,17.1721
2026-08-11,PEP,PEP,,121860,2.1208,2.1757,137.6481
2026-08-11,PFE,PFE,,130094,3.7441,3.753,26.7277
2026-08-11,PG,PG,,70765,2.5071,2.0773,144.7788
2026-08-11,PGR,PGR,,10425,8.4363,7.0184,213.6581
2026-08-11,PLD,PLD,,22379,4.4097,3.596,139.3265
2026-08-11,PLTR,PLTR,,351326,2.2172,1.7209,175.3207
2026-08-11,PLUG,PLUG,,79086,45.4078,45.1467,2.2098
2026-08-11,PM,PM,,20938,9.1436,8.0738,186.1844
2026-08-11,PPG,PPG,,12650,13.5956,11.1958,116.2682
2026-08-11,PSA,PSA,,8531,12.0013,11.0507,324.7124
2026-08-11,PSX,PSX,,25179,12.2143,12.0538,221.7924
2026-08-11,QCOM,QCOM,,94337,4.6361,3.6937,162.8493
2026-08-11,RBLX,RBLX,,56639,5.6815,5.4289,36.7882
2026-08-11,ROST,ROST,,15902,8.679,7.8849,253.3234
2026-08-11,RTX,RTX,,17332,5.3265,4.9003,224.0865
2026-08-11,SBUX,SBUX,,39422,4.428,3.7683,106.2572
2026-08-11,SCHW,SCHW,,66229,3.7321,2.7846,107.8192
2026-08-11,SHW,SHW,,25621,6.7718,5.2217,364.8759
2026-08-11,SLB,SLB,,120042,2.6176,1.8728,53.535
2026-08-11,SNPS,SNPS,,18190,12.3636,11.2067,409.7933
2026-08-11,SO,SO,,107657,2.5094,2.1784,91.7628
2026-08-11,SOC,SOC,,45888,22.6301,22.2469,4.5024
2026-08-11,SPG,SPG,,7469,15.6169,14.4118,221.9723
2026-08-11,SPGI,SPGI,,29535,7.861,6.585,409.8683
2026-08-11,SPOT,SPOT,,16459,10.2035,8.9954,504.0991
2026-08-11,SRE,SRE,,22496,5.6759,5.8333,84.7834
2026-08-11,STZ,STZ,,11712,11.2351,10.5964,132.4814
2026-08-11,SYK,SYK,,21761,7.4905,6.3222,347.7138
2026-08-11,SYY,SYY,,13361,6.6603,5.9266,84.2338
2026-08-11,T,T,,122580,4.1187,4.1127,24.3039
2026-08-11,TJX,TJX,,32164,5.2774,4.4804,156.53
2026-08-11,TMO,TMO,,18414,6.9984,5.6721,601.5577
2026-08-11,TMUS,TMUS,,32818,6.6277,6.0876,180.1171
2026-08-11,TSLA,TSLA,,280159,2.0583,1.8091,333.0911
2026-08-11,TT,TT,,19762,12.0984,10.9372,484.7264
2026-08-11,TTWO,TTWO,,16223,10.9397,9.6308,251.151
2026-08-11,TXN,TXN,,39234,7.6931,7.1745,282.4157
2026-08-11,UBER,UBER,,180450,1.9779,1.2808,78.3807
2026-08-11,UNH,UNH,,40113,5.0109,4.4435,404.3845
2026-08-11,UPS,UPS,,31848,3.5173,2.8831,104.2908
2026-08-11,V,V,,49451,2.5581,2.1993,363.2768
2026-08-11,VICI,VICI,,60600,3.9723,3.8366,26.0599
2026-08-11,VLO,VLO,,21912,12.9464,12.1158,321.4614
2026-08-11,VMC,VMC,,16970,11.4401,10.5259,286.0185
2026-08-11,VRTX,VRTX,,18374,8.1547,6.7774,529.9705
2026-08-11,VST,VST,,29782,9.6923,8.9559,145.2001
2026-08-11,VZ,VZ,,132822,2.1836,2.1189,47.2058
2026-08-11,WBD,WBD,,107637,3.7108,3.688,27.1062
2026-08-11,WEC,WEC,,18657,5.2408,4.6959,106.378
2026-08-11,WELL,WELL,,23574,8.8106,7.4934,227.9661
2026-08-11,WFC,WFC,,172993,2.1338,2.2782,87.6684
2026-08-11,WM,WM,,12512,9.7218,8.3394,228.2923
2026-08-11,WMB,WMB,,54291,3.1953,2.7674,72.25
2026-08-11,WMT,WMT,,316245,1.5265,0.8897,112.6586
2026-08-11,XEL,XEL,,253785,2.6115,2.5893,77.1844
2026-08-11,XOM,XOM,,106844,2.055,1.8667,160.4179
2026-08-11,YUM,YUM,,15013,8.9746,8.3091,144.3017
2026-08-11,ZTS,ZTS,,29150,7.0667,6.6511,75.0334
2026-08-12,AAPL,AAPL,,509770,0.9051,0.6646,301.9284
2026-08-12,ABBV,ABBV,,20697,6.6767,6.0191,248.6373
2026-08-12,ABNB,ABNB,,35785,6.2893,5.5494,180.498
